Slot,,3,4,5,6,7,8
S/N,,0054,0057,0058,0059,0061,0065
16,TOP,TOF-N-T-17,TOF-S-T-5,TOF-S-T-37,TOF-UP-T-25,TOF-DW-T-13,TOF-N-T-45
17,TOP,TOF-N-T-18,TOF-S-T-6,TOF-S-T-38,TOF-UP-T-26,TOF-DW-T-14,TOF-N-T-46
18,TOP,TOF-N-T-19,TOF-S-T-7,TOF-S-T-39,TOF-UP-T-27,TOF-DW-T-15,TOF-S-T-45
19,TOP,TOF-N-T-20,TOF-S-T-8,TOF-S-T-40,TOF-UP-T-28,TOF-DW-T-16,TOF-S-T-46
20,TOP,TOF-N-T-21,TOF-S-T-9,TOF-S-T-41,TOF-UP-T-29,TOF-DW-T-17,TOF-UP-T-45
21,TOP,TOF-N-T-22,TOF-S-T-10,TOF-S-T-42,TOF-UP-T-30,TOF-DW-T-18,TOF-UP-T-46
22,TOP,TOF-N-T-23,TOF-S-T-11,TOF-S-T-43,TOF-UP-T-31,TOF-DW-T-19,TOF-DW-T-45
23,TOP,TOF-N-T-24,TOF-S-T-12,TOF-S-T-44,TOF-UP-T-32,TOF-DW-T-20,TOF-DW-T-46
24,TOP,TOF-N-T-25,TOF-S-T-13,TOF-UP-T-1,TOF-UP-T-33,TOF-DW-T-21,USED
25,TOP,TOF-N-T-26,TOF-S-T-14,TOF-UP-T-2,TOF-UP-T-34,TOF-DW-T-22,USED
26,TOP,TOF-N-T-27,TOF-S-T-15,TOF-UP-T-3,TOF-UP-T-35,TOF-DW-T-23,TAC-T-1
27,TOP,TOF-N-T-28,TOF-S-T-16,TOF-UP-T-4,TOF-UP-T-36,TOF-DW-T-24,SPARE
28,TOP,TOF-N-T-29,TOF-S-T-17,TOF-UP-T-5,TOF-UP-T-37,TOF-DW-T-25,SPARE
29,TOP,TOF-N-T-30,TOF-S-T-18,TOF-UP-T-6,TOF-UP-T-38,TOF-DW-T-26,SPARE
30,TOP,TOF-N-T-31,TOF-S-T-19,TOF-UP-T-7,TOF-UP-T-39,TOF-DW-T-27,DIRC-LED-DISC
31,TOP,TOF-N-T-32,TOF-S-T-20,TOF-UP-T-8,TOF-UP-T-40,TOF-DW-T-28,MO-1
0,BOT,TOF-N-T-1,TOF-N-T-33,TOF-S-T-21,TOF-UP-T-9,TOF-UP-T-41,TOF-DW-T-29
1,BOT,TOF-N-T-2,TOF-N-T-34,TOF-S-T-22,TOF-UP-T-10,TOF-UP-T-42,TOF-DW-T-30
2,BOT,TOF-N-T-3,TOF-N-T-35,TOF-S-T-23,TOF-UP-T-11,TOF-UP-T-43,TOF-DW-T-31
3,BOT,TOF-N-T-4,TOF-N-T-36,TOF-S-T-24,TOF-UP-T-12,TOF-UP-T-44,TOF-DW-T-32
4,BOT,TOF-N-T-5,TOF-N-T-37,TOF-S-T-25,TOF-UP-T-13,TOF-DW-T-1,TOF-DW-T-33
5,BOT,TOF-N-T-6,TOF-N-T-38,TOF-S-T-26,TOF-UP-T-14,TOF-DW-T-2,TOF-DW-T-34
6,BOT,TOF-N-T-7,TOF-N-T-39,TOF-S-T-27,TOF-UP-T-15,TOF-DW-T-3,TOF-DW-T-35
7,BOT,TOF-N-T-8,TOF-N-T-40,TOF-S-T-28,TOF-UP-T-16,TOF-DW-T-4,TOF-DW-T-36
8,BOT,TOF-N-T-9,TOF-N-T-41,TOF-S-T-29,TOF-UP-T-17,TOF-DW-T-5,TOF-DW-T-37
9,BOT,TOF-N-T-10,TOF-N-T-42,TOF-S-T-30,TOF-UP-T-18,TOF-DW-T-6,TOF-DW-T-38
10,BOT,TOF-N-T-11,TOF-N-T-43,TOF-S-T-31,TOF-UP-T-19,TOF-DW-T-7,TOF-DW-T-39
11,BOT,TOF-N-T-12,TOF-N-T-44,TOF-S-T-32,TOF-UP-T-20,TOF-DW-T-8,TOF-DW-T-40
12,BOT,TOF-N-T-13,TOF-S-T-1,TOF-S-T-33,TOF-UP-T-21,TOF-DW-T-9,TOF-DW-T-41
13,BOT,TOF-N-T-14,TOF-S-T-2,TOF-S-T-34,TOF-UP-T-22,TOF-DW-T-10,TOF-DW-T-42
14,BOT,TOF-N-T-15,TOF-S-T-3,TOF-S-T-35,TOF-UP-T-23,TOF-DW-T-11,TOF-DW-T-43
15,BOT,TOF-N-T-16,TOF-S-T-4,TOF-S-T-36,TOF-UP-T-24,TOF-DW-T-12,TOF-DW-T-44
